term	chunk_freq	stock_subwords	whitelist
feasibility	856	3	0
mcfinley	772	4	0
estimate	671	2	0
cochenour	658	3	0
bateman	639	2	0
geophysical	576	4	0
pre-feasibility	550	5	0
ieee	535	3	0
prefeasibility	490	4	0
srkca	427	3	0
sampling	383	3	0
caliper	380	2	0
madsenpfs	375	4	0
density	344	3	0
epee	334	3	0
patterson	324	3	0
inferred	323	2	0
resistance	272	2	0
ultramafic	264	3	0
parameters	262	2	0
wrlg	260	3	0
metallurgical	237	3	0
cutoff	225	2	0
drilling	224	2	0
shirley	222	2	0
uae	220	3	0
high-grade	219	3	0
geotechnical	218	3	0
athabasca	217	3	0
assays	215	3	0
boundary	213	3	0
volcanic	211	3	0
composite	195	3	0
saskatchewan	194	4	0
mcveigh	192	4	0
cyanide	189	3	0
cut-off	187	3	0
unconformity	180	4	0
geochemical	173	3	0
neutron	169	2	0
sandstone	169	2	0
deformation	166	3	0
characteristics	163	3	0
eases	160	3	0
dewatering	159	3	0
measured	159	2	0
composites	158	3	0
appendix	158	3	0
earle	157	2	0
summarized	153	3	0
ounces	150	3	0
co-disposal	149	5	0
northeast	148	3	0
uranium	143	2	0
calibration	141	3	0
unlikely	126	3	0
azimuth	126	3	0
accuracy	122	3	0
airborne	121	3	0
gravity	119	2	0
analytical	110	3	0
assaying	110	3	0
lithology	109	3	0
unconformity-type	109	6	0
sequence	107	3	0
depths	104	3	0
logging	102	2	0
lithologies	97	4	0
lithological	97	3	0
laboratory	96	2	0
estimation	96	2	0
tectonic	95	3	0
summarizes	95	3	0
deviation	94	2	0
boundaries	94	3	0
geologists	94	3	0
metamorphic	93	3	0
metamorphism	93	3	0
starratt	92	3	0
compu-log	92	4	0
consumption	92	3	0
assayed	91	3	0
geochemistry	91	4	0
threshold	90	3	0
contained	87	2	0
confederation	87	3	0
sulphide	86	3	0
analyzed	86	3	0
drainage	84	3	0
byshe	83	2	0
extensive	83	3	0
unknown	83	3	0
subarctic	81	3	0
undertaken	81	3	0
contingency	80	3	0
metallurgy	79	3	0
earthquake	79	3	0
frequency	79	3	0
underlying	79	3	0
expansion	78	3	0
thickness	78	3	0
sree	78	3	0
reverse-circulation	78	5	0
pls-	78	3	0
permitting	77	2	0
uaa	77	3	0
gold-bearing	76	4	0
geometry	76	3	0
permafrost	75	4	0
volcanism	75	3	0
deformed	74	3	0
predominantly	73	3	0
earthquakes	72	3	0
outlined	72	3	0
peepee	71	3	0
stratigraphy	71	4	0
ore-grade	70	3	0
overburden	69	3	0
aazs	69	3	0
k-factor	69	3	0
sss	68	3	0
cutoffs	68	3	0
gr-res-sp	68	5	0
leaching	68	3	0
sulphur	67	3	0
api-gr	67	3	0
geophysics	67	4	0
year-round	67	3	0
ispeed-	66	3	0
ohm-m	66	4	0
intersection	66	3	0
northwestern	66	3	0
dilution	66	2	0
hydrothermal	65	3	0
deemed	65	3	0
petroleum	64	3	0
upgrading	64	3	0
api-n	63	3	0
sandstones	63	3	0
amphibole	63	3	0
tectonics	63	4	0
estimated	62	2	0
intercepts	62	3	0
pyrrhotite	62	5	0
volcanoes	62	3	0
contiguous	62	3	0
southeast	62	3	0
tonnage	61	2	0
intersected	60	3	0
structural	60	2	0
folds	60	3	0
mckenzie	60	3	0
feldspar	60	3	0
anomalous	59	3	0
constraints	59	4	0
orogenic	59	3	0
intrusive	59	2	0
setae	58	3	0
sensitivity	58	3	0
world-class	58	3	0
geonovus	58	3	0
potassium	58	4	0
industry-standard	57	3	0
graphitic	57	4	0
multi-element	57	3	0
electromagnetic	57	3	0
lowest	56	2	0
measuring	56	3	0
biotite	56	3	0
preliminary	55	2	0
aaidm	55	3	0
assemblages	54	3	0
paleoproterozoic	54	6	0
accredited	53	3	0
unconformity-related	53	6	0
cumulative	53	3	0
sustaining	53	2	0
aerate	53	3	0
duplicates	52	2	0
mcarthur	52	3	0
nexgen	52	3	0
cdn-gs-	52	5	0
aae	52	3	0
steeply	52	3	0
conveyor	51	3	0
eects	51	3	0
on-site	51	3	0
porphyry	51	3	0
sedimentary	51	2	0
sewage	50	3	0
sanborn-barrie	50	5	0
liabilities	50	3	0
rqd	50	3	0
disclosed	50	3	0
outcrop	50	3	0
