timestamp,container,cpu_pct,mem_usage,mem_pct
2026-04-20T17:58:41Z,8da66479234942dc009ec84e8a3400ff772c3a81a7d3cff0bc9692b5e242bf92,12.88%,354.3MiB / 12GiB,2.88%
2026-04-20T17:58:41Z,b319a3f7c7c16d044477f1836e37bece739792c56820f1477bd3f9c420075f5b,0.02%,3.691MiB / 256MiB,1.44%
2026-04-20T17:58:41Z,31cc36f9d7b820b5a02846978ca10a28a6483a2f5a0bd15a0c515d61ed0376bd,0.71%,1.861GiB / 9GiB,20.68%
2026-04-20T17:58:41Z,8f639fdc8d151413229eca21f87217a559da480dd40abcc549af038a7b53f813,0.75%,2.373GiB / 4GiB,59.32%
2026-04-20T17:58:41Z,88b3bd505d461a68892586d441b55222ba02f719ea3456235cd90ec9ac245ec1,0.00%,29.75MiB / 31.3GiB,0.09%
2026-04-20T17:58:41Z,1ce7a3d06cdb6246f9fc70fa7ff48153c171c197f110f456297e0e7a4e2165eb,0.00%,8.148MiB / 512MiB,1.59%
2026-04-20T17:58:41Z,d6b977384d80c3a57cfb54c5a9c581d5ca880d76c2c1f2bd9cd67f490f67ae25,0.13%,117.7MiB / 2GiB,5.75%
2026-04-20T17:58:41Z,8d5fca34d5443b21d1761f5661daef07d2d9d7e1cb72b8177fe05670e9ae3ba8,5.48%,321.6MiB / 2GiB,15.71%
2026-04-20T17:58:41Z,78eea2df72e77ee0a3b90c68c32171bd6c09ef412139c638b90d4151abbf6f72,2.47%,7.223MiB / 1GiB,0.71%
2026-04-20T17:58:41Z,49b7e2540ff41fa5fef1bd0442ec50cc6a18f1780a6fc0a13bd1aa3c2de5f536,0.04%,9.934MiB / 512MiB,1.94%
2026-04-20T17:58:41Z,10c8496a280e3ec370eaf98ce0db6f74ebfc25b13118e4608a510cc2fb034794,0.02%,46.4MiB / 4GiB,1.13%
2026-04-20T17:58:41Z,707bd8a231a551b4a56b4248ed1915e574f25be6b63f66effcd1ed4f404a2dda,3.21%,47.72MiB / 512MiB,9.32%
2026-04-20T17:58:41Z,8c240331e94a063d2b64a8b8a9cb0a2380a64790faabc2f4f55ae505f342d41e,1.83%,278MiB / 1GiB,27.15%
2026-04-20T17:58:41Z,735f81c8f13e50c17f76e4a237e3d2d6805825cdb4495792c497889c396d270f,0.45%,268.8MiB / 1GiB,26.25%
2026-04-20T17:58:41Z,8b1931ea1977ce92f55d0a98e568c5cce0d52bd6750daa20d38ddddecab31302,33.54%,450.7MiB / 1GiB,44.02%
2026-04-20T17:58:41Z,89bf1864880be1818a9b138f876fe913b8dc653649d8367ab356d0d8cb416d55,0.00%,47.44MiB / 31.3GiB,0.15%
2026-04-20T17:59:14Z,8da66479234942dc009ec84e8a3400ff772c3a81a7d3cff0bc9692b5e242bf92,0.00%,354.8MiB / 12GiB,2.89%
2026-04-20T17:59:14Z,b319a3f7c7c16d044477f1836e37bece739792c56820f1477bd3f9c420075f5b,0.01%,3.691MiB / 256MiB,1.44%
2026-04-20T17:59:14Z,31cc36f9d7b820b5a02846978ca10a28a6483a2f5a0bd15a0c515d61ed0376bd,0.66%,1.861GiB / 9GiB,20.68%
2026-04-20T17:59:14Z,8f639fdc8d151413229eca21f87217a559da480dd40abcc549af038a7b53f813,0.79%,2.373GiB / 4GiB,59.32%
2026-04-20T17:59:14Z,88b3bd505d461a68892586d441b55222ba02f719ea3456235cd90ec9ac245ec1,0.00%,29.75MiB / 31.3GiB,0.09%
2026-04-20T17:59:14Z,1ce7a3d06cdb6246f9fc70fa7ff48153c171c197f110f456297e0e7a4e2165eb,0.00%,8.148MiB / 512MiB,1.59%
2026-04-20T17:59:14Z,d6b977384d80c3a57cfb54c5a9c581d5ca880d76c2c1f2bd9cd67f490f67ae25,0.28%,117.7MiB / 2GiB,5.75%
2026-04-20T17:59:14Z,8d5fca34d5443b21d1761f5661daef07d2d9d7e1cb72b8177fe05670e9ae3ba8,1.10%,321.6MiB / 2GiB,15.71%
2026-04-20T17:59:14Z,78eea2df72e77ee0a3b90c68c32171bd6c09ef412139c638b90d4151abbf6f72,2.52%,7.719MiB / 1GiB,0.75%
2026-04-20T17:59:14Z,49b7e2540ff41fa5fef1bd0442ec50cc6a18f1780a6fc0a13bd1aa3c2de5f536,0.03%,9.938MiB / 512MiB,1.94%
2026-04-20T17:59:14Z,10c8496a280e3ec370eaf98ce0db6f74ebfc25b13118e4608a510cc2fb034794,0.02%,46.41MiB / 4GiB,1.13%
2026-04-20T17:59:14Z,707bd8a231a551b4a56b4248ed1915e574f25be6b63f66effcd1ed4f404a2dda,0.00%,47.72MiB / 512MiB,9.32%
2026-04-20T17:59:14Z,8c240331e94a063d2b64a8b8a9cb0a2380a64790faabc2f4f55ae505f342d41e,2.03%,277.9MiB / 1GiB,27.13%
2026-04-20T17:59:14Z,735f81c8f13e50c17f76e4a237e3d2d6805825cdb4495792c497889c396d270f,0.45%,268.8MiB / 1GiB,26.25%
2026-04-20T17:59:14Z,8b1931ea1977ce92f55d0a98e568c5cce0d52bd6750daa20d38ddddecab31302,1.79%,451MiB / 1GiB,44.04%
2026-04-20T17:59:14Z,89bf1864880be1818a9b138f876fe913b8dc653649d8367ab356d0d8cb416d55,0.00%,47.42MiB / 31.3GiB,0.15%
